RSSI,Energy,ActivityScore,Label
0.0,0.0,32.6917,7
0.0,1.92,41.9815,7
0.0,3.85,47.4285,7
0.0,4.64,52.7682,7
0.0,5.38,55.9249,7
0.0,5.64,59.1942,7
0.0,6.0,60.8534,7
0.0,6.03,61.608,7
0.0,6.26,61.9954,7
0.0,6.23,61.733,7
-73.0,6.25,60.9127,7
-74.0,6.27,59.6778,7
-74.0,6.27,58.1191,7
-74.0,6.28,55.6233,7
-75.0,6.24,52.6474,7
-75.0,6.32,48.5764,7
-76.0,6.21,43.6829,7
-76.0,6.32,36.9727,7
-77.0,6.07,27.587,7
-77.0,6.27,9.4345,7
-77.0,6.15,6.1774,7
-76.0,6.38,5.5944,7
-76.0,6.3,5.6205,7
-76.0,6.42,4.835,7
-76.0,6.22,4.9204,7
-76.0,6.44,3.9799,7
-76.0,6.25,4.1107,7
-76.0,6.42,4.1107,7
-76.0,6.22,4.24,7
-76.0,6.49,4.24,7
-76.0,6.24,5.8264,7
-76.0,6.53,5.8883,7
-76.0,6.32,6.4517,7
-76.0,6.52,6.4517,7
-76.0,6.36,7.2156,7
-76.0,6.53,7.0751,7
-76.0,6.44,7.2448,7
-77.0,6.54,7.2109,7
-77.0,6.44,7.5639,7
-77.0,6.55,7.524,7
-77.0,6.43,7.8446,7
-77.0,6.48,7.7711,7
-78.0,6.36,7.8586,7
-78.0,6.42,7.8072,7
-78.0,6.28,8.0415,7
-78.0,6.4,7.8299,7
-77.0,6.34,8.1177,7
-77.0,6.37,7.9145,7
-77.0,6.29,8.0537,7
-78.0,6.42,7.7838,7
-78.0,6.35,7.2777,7
-78.0,6.47,7.0336,7
-78.0,6.38,6.8476,7
-78.0,6.47,6.5876,7
-77.0,6.34,6.4426,7
-77.0,6.39,6.5038,7
-77.0,6.34,6.5465,7
-77.0,6.34,6.5966,7
-77.0,6.29,6.4098,7
-77.0,6.34,6.39,7
-77.0,6.3,6.0262,7
-77.0,6.3,6.0467,7
-77.0,6.34,5.7118,7
-77.0,6.32,5.9264,7
-77.0,6.36,5.3371,7
-77.0,6.26,5.3371,7
-77.0,6.38,5.2156,7
-77.0,6.26,5.2156,7
-76.0,6.29,4.6349,7
-76.0,6.27,4.633,7
-76.0,6.35,3.8382,7
-76.0,6.2,3.9573,7
-76.0,6.37,3.5457,7
-76.0,6.21,3.7017,7
-76.0,6.36,3.7017,7
-76.0,6.32,3.7492,7
-77.0,6.36,3.7131,7
-77.0,6.29,4.63,7
-77.0,6.47,4.63,7
-77.0,6.21,6.0796,7
-77.0,6.42,6.15,7
-77.0,6.26,7.0655,7
-77.0,6.54,7.1325,7
-77.0,6.27,7.9298,7
-77.0,6.51,8.0425,7
-77.0,6.24,8.5316,7
-78.0,6.46,8.464,7
-78.0,6.35,8.623,7
-78.0,6.33,8.7194,7
-79.0,6.23,8.8776,7
-79.0,6.23,8.8776,7
-79.0,6.16,9.0657,7
-79.0,6.35,8.8268,7
-79.0,6.25,8.9784,7
-79.0,6.34,8.7113,7
-80.0,6.26,8.799,7
-78.0,6.42,8.8665,7
-78.0,6.32,8.8665,7
-78.0,6.42,8.5723,7
-78.0,6.26,8.1402,7
-78.0,6.4,7.8245,7
-78.0,6.27,7.6925,7
-78.0,6.35,7.8011,7
-78.0,6.32,7.3729,7
-78.0,6.32,7.3729,7
-78.0,6.28,7.0432,7
-78.0,6.21,7.0755,7
-78.0,6.21,6.9951,7
-78.0,6.19,6.7517,7
-78.0,6.22,6.528,7
-78.0,6.13,6.6792,7
-78.0,6.28,6.2619,7
-77.0,6.1,6.2767,7
-77.0,6.29,5.7236,7
-77.0,6.1,5.729,7
-76.0,6.29,5.0928,7
-76.0,6.15,5.0845,7
-76.0,6.31,4.0604,7
-76.0,6.12,4.1859,7
-76.0,6.25,3.4492,7
-76.0,6.08,3.4073,7
-76.0,6.2,3.4296,7
-77.0,6.1,3.5457,7
-77.0,6.32,3.6156,7
-77.0,6.19,3.7492,7
-77.0,6.32,3.8243,7
-77.0,6.26,3.8798,7
-77.0,6.34,3.9537,7
-77.0,6.13,5.7954,7
-77.0,6.41,5.7954,7
-77.0,6.21,6.3334,7
-77.0,6.41,6.4321,7
-77.0,6.3,7.2421,7
-77.0,6.43,7.2,7
-77.0,6.32,7.5935,7
-78.0,6.32,7.4167,7
-78.0,6.24,7.7144,7
-78.0,6.24,7.6848,7
-78.0,6.26,7.9694,7
-78.0,6.28,7.7798,7
-78.0,6.22,7.944,7
-78.0,6.27,7.944,7
-78.0,6.21,8.0816,7
-78.0,6.3,7.8126,7
-78.0,6.23,8.0676,7
-78.0,6.34,7.7693,7
-78.0,6.26,7.8126,7
-78.0,6.33,7.4741,7
-78.0,6.25,7.3404,7
-78.0,6.21,7.0771,7
-78.0,6.2,7.058,7
-78.0,6.14,6.8755,7
-78.0,6.16,6.725,7
-78.0,6.18,6.725,7
-78.0,6.21,6.6645,7
-78.0,6.24,6.6645,7
-78.0,6.29,6.4796,7
-78.0,6.2,6.6149,7
-78.0,6.24,6.2295,7
-78.0,6.11,6.2295,7
-77.0,6.22,5.7706,7
-77.0,6.18,5.9977,7
-77.0,6.29,5.5642,7
-77.0,6.2,5.5697,7
-76.0,6.3,4.5891,7
-76.0,6.15,4.5811,7
-76.0,6.26,3.7009,7
-76.0,6.14,3.6826,7
-76.0,6.27,3.5686,7
-76.0,6.11,3.7191,7
-76.0,6.21,3.7918,7
-77.0,6.09,3.9086,7
-77.0,6.22,3.9086,7
-77.0,6.09,3.948,7
-77.0,6.3,3.871,7
-77.0,6.14,5.2414,7
-77.0,6.37,5.2414,7
-77.0,6.09,6.2028,7
-77.0,6.24,6.3089,7
-77.0,6.15,6.7099,7
-77.0,6.25,6.6149,7
-77.0,6.15,6.6998,7
-77.0,6.14,6.6476,7
-77.0,6.08,6.939,7
-78.0,6.15,6.8722,7
-78.0,6.11,7.1855,7
-78.0,6.21,7.153,7
-78.0,6.14,7.2479,7
-78.0,6.17,7.2078,7
-78.0,6.1,7.5519,7
-78.0,6.19,7.2758,7
