RSSI,Energy,ActivityScore,Label
0.0,0.0,32.6917,1
0.0,2.0,42.605,1
0.0,2.36,48.5742,1
0.0,3.7,53.8809,1
0.0,4.0,57.3718,1
0.0,4.74,58.0647,1
0.0,4.94,60.2479,1
0.0,5.39,60.1862,1
0.0,5.49,61.2347,1
0.0,5.75,60.3855,1
-59.0,5.78,60.355,1
-60.0,5.94,58.6822,1
-60.0,5.97,57.5859,1
-60.0,6.11,54.9735,1
-61.0,6.11,52.4839,1
-82.0,6.1,49.2034,1
-82.0,6.18,44.7248,1
-82.0,6.15,38.8986,1
-82.0,6.23,30.6331,1
-82.0,6.19,16.9989,1
-82.0,6.21,15.6108,1
-82.0,6.29,15.9048,1
-82.0,6.21,16.5245,1
-82.0,6.28,16.8072,1
-82.0,6.26,17.3474,1
-82.0,6.27,16.4241,1
-82.0,6.09,16.8942,1
-82.0,6.17,16.6723,1
-82.0,6.08,17.0333,1
-82.0,6.2,16.8072,1
-82.0,6.15,17.2172,1
-82.0,6.23,16.987,1
-82.0,6.2,17.9462,1
-82.0,6.17,17.5011,1
-82.0,6.14,17.8431,1
-82.0,6.19,18.5435,1
-82.0,6.18,18.9,1
-82.0,6.2,18.9802,1
-82.0,6.2,19.351,1
-82.0,6.25,19.3168,1
-82.0,6.2,19.3801,1
-82.0,6.21,19.0205,1
-82.0,6.19,18.9397,1
-82.0,6.22,18.2931,1
-82.0,6.26,18.2931,1
-82.0,6.29,18.2931,1
-82.0,6.26,18.0941,1
-82.0,6.29,17.306,1
-82.0,6.22,17.242,1
-82.0,6.24,16.2823,1
-82.0,6.3,16.8433,1
-82.0,6.3,16.8433,1
-82.0,6.26,16.4007,1
-82.0,6.27,15.8594,1
-82.0,6.25,15.5957,1
-82.0,6.24,15.7284,1
-82.0,6.32,16.4829,1
-82.0,6.28,16.1337,1
-82.0,6.26,16.6241,1
-82.0,6.31,16.6622,1
-82.0,6.31,17.073,1
-82.0,6.28,16.9366,1
-82.0,6.21,16.4964,1
-82.0,6.17,16.4964,1
-82.0,6.16,16.0316,1
-82.0,6.21,16.0316,1
-82.0,6.23,15.7135,1
-82.0,6.23,15.6696,1
-82.0,6.3,15.6135,1
-82.0,6.22,16.0736,1
-82.0,6.31,16.0736,1
-82.0,6.16,16.3603,1
-82.0,6.16,16.5495,1
-82.0,6.11,16.8607,1
-82.0,6.22,17.4237,1
-82.0,6.11,16.9347,1
-82.0,6.22,16.7094,1
-82.0,6.17,16.9878,1
-82.0,6.28,16.8767,1
-82.0,6.16,17.2493,1
-82.0,6.27,17.0176,1
-82.0,6.16,17.389,1
-82.0,6.25,18.1618,1
-82.0,6.17,18.5443,1
-82.0,6.25,19.1807,1
-82.0,6.19,19.5074,1
-81.0,6.26,20.0926,1
-88.0,6.14,20.4544,1
-88.0,6.16,20.2283,1
-88.0,6.16,20.2909,1
-88.0,6.25,19.643,1
-88.0,6.16,19.4474,1
-82.0,6.2,18.9931,1
-82.0,6.19,19.1265,1
-82.0,6.23,18.3765,1
-82.0,6.15,18.3765,1
-82.0,6.2,17.4663,1
-82.0,6.29,18.3545,1
-82.0,6.28,17.4946,1
-82.0,6.38,18.1759,1
-82.0,6.22,17.3955,1
-82.0,6.27,17.9963,1
-82.0,6.25,17.2428,1
-82.0,6.28,17.7539,1
-82.0,6.34,17.086,1
-82.0,6.24,17.5986,1
-82.0,6.2,16.9473,1
-82.0,6.27,17.0095,1
-82.0,6.23,16.6849,1
-82.0,6.22,16.3624,1
-82.0,6.27,16.4007,1
-82.0,6.24,16.2014,1
-82.0,6.28,16.2014,1
-82.0,6.33,15.7141,1
-82.0,6.27,16.2407,1
-82.0,6.33,16.3665,1
-82.0,6.23,16.8326,1
-82.0,6.34,16.6323,1
-82.0,6.25,17.157,1
-82.0,6.4,16.9538,1
-82.0,6.25,17.2474,1
-82.0,6.32,17.0407,1
-83.0,6.2,17.4302,1
-83.0,6.34,17.2198,1
-83.0,6.27,17.5537,1
-83.0,6.35,17.3396,1
-83.0,6.29,17.7576,1
-83.0,6.44,17.9466,1
-83.0,6.33,18.2414,1
-83.0,6.41,18.8683,1
-83.0,6.24,19.177,1
-82.0,6.37,19.6271,1
-83.0,6.27,19.9859,1
-62.0,6.4,20.4099,1
-62.0,6.29,20.333,1
-80.0,6.38,19.8288,1
-80.0,6.28,19.9026,1
-80.0,6.37,19.2877,1
-80.0,6.3,19.2168,1
-80.0,6.37,18.4864,1
-80.0,6.26,18.4864,1
-80.0,6.3,17.6228,1
-80.0,6.09,17.5628,1
-80.0,6.16,16.5477,1
-80.0,6.19,17.4637,1
-80.0,6.2,16.5095,1
-80.0,6.26,17.2396,1
-80.0,6.26,17.4581,1
-80.0,6.24,17.9328,1
-80.0,6.25,17.2655,1
-80.0,6.29,17.2858,1
-80.0,6.27,16.6351,1
-80.0,6.19,16.9605,1
-80.0,6.23,16.365,1
-80.0,6.25,16.2312,1
-80.0,6.3,16.2312,1
-80.0,6.26,15.7221,1
-80.0,6.29,15.7221,1
-80.0,6.31,15.227,1
-80.0,6.31,15.227,1
-80.0,6.3,14.8803,1
-80.0,6.28,14.8803,1
-80.0,6.27,14.519,1
-80.0,6.25,14.519,1
-80.0,6.34,14.2214,1
-80.0,6.32,14.954,1
-80.0,6.44,14.7449,1
-80.0,6.28,14.5051,1
-80.0,6.31,13.9546,1
-80.0,6.32,14.5747,1
-80.0,6.45,14.6684,1
-80.0,6.3,15.1602,1
-80.0,6.44,14.831,1
-80.0,6.32,15.466,1
-80.0,6.42,15.5616,1
-80.0,6.32,16.05,1
-80.0,6.42,16.4964,1
-80.0,6.26,16.9937,1
-80.0,6.35,17.3864,1
-80.0,6.26,17.8901,1
-66.0,6.39,17.9466,1
-66.0,6.28,18.3802,1
-66.0,6.32,18.1902,1
-66.0,6.3,18.6885,1
-79.0,6.42,18.2143,1
-79.0,6.33,18.2143,1
-80.0,6.37,17.5404,1
-80.0,6.28,17.5404,1
-80.0,6.36,17.0253,1
-80.0,6.22,16.6795,1
-80.0,6.33,15.6777,1
-80.0,6.25,16.7839,1
-80.0,6.19,15.8552,1
-80.0,6.24,16.7051,1
-80.0,6.25,15.8481,1
-80.0,6.17,16.6365,1
-80.0,6.26,15.8566,1
-80.0,6.29,16.5266,1
-80.0,6.34,15.814,1
-80.0,6.33,16.3665,1
-80.0,6.28,15.9917,1
-80.0,6.35,16.4768,1
-80.0,6.32,16.5019,1
-80.0,6.31,16.625,1
-80.0,6.34,16.625,1
-80.0,6.33,16.1574,1
-80.0,6.37,16.1574,1
-80.0,6.32,15.6813,1
-80.0,6.31,15.6813,1
-80.0,6.26,15.0105,1
-80.0,6.35,15.0105,1
-80.0,6.43,14.6223,1
-80.0,6.3,15.3931,1
-80.0,6.4,15.2115,1
-80.0,6.3,16.068,1
-80.0,6.37,15.885,1
-80.0,6.25,16.4281,1
-80.0,6.42,16.2421,1
-80.0,6.27,16.9339,1
-80.0,6.4,16.7455,1
-80.0,6.25,17.3785,1
-80.0,6.36,17.1871,1
-80.0,6.27,17.6822,1
-80.0,6.45,17.4871,1
-80.0,6.32,17.8689,1
-80.0,6.42,17.9517,1
-80.0,6.33,18.4523,1
-80.0,6.41,18.929,1
-80.0,6.29,19.4392,1
-80.0,6.31,19.2626,1
-80.0,6.3,19.7499,1
-80.0,6.34,19.3464,1
-80.0,6.27,19.3464,1
-80.0,6.37,18.5992,1
-80.0,6.3,18.5321,1
-80.0,6.35,17.6521,1
-80.0,6.35,18.4462,1
-80.0,6.43,17.6217,1
-80.0,6.39,18.1779,1
-80.0,6.36,17.4213,1
-80.0,6.28,17.3474,1
-80.0,6.36,16.4447,1
-80.0,6.36,17.1583,1
-80.0,6.34,16.3156,1
-79.0,6.34,16.9964,1
-80.0,6.31,16.3278,1
-79.0,6.32,16.7361,1
-80.0,6.33,16.0316,1
-79.0,6.32,16.3237,1
-79.0,6.31,16.767,1
-79.0,6.31,16.5916,1
-79.0,6.39,16.5916,1
-79.0,6.27,16.639,1
-79.0,6.23,17.2206,1
-79.0,6.32,17.0121,1
-79.0,6.39,17.0506,1
-79.0,6.35,16.6824,1
-79.0,6.31,16.6824,1
-79.0,6.37,16.4075,1
-79.0,6.29,16.8807,1
-79.0,6.4,16.7497,1
-79.0,6.21,17.3858,1
-79.0,6.34,17.2082,1
-80.0,6.22,17.7056,1
-80.0,6.38,17.5242,1
