RSSI,Energy,ActivityScore,Label
0.0,0.0,32.6917,8
0.0,2.8,40.3885,8
0.0,3.89,47.2566,8
0.0,4.97,51.5037,8
0.0,5.34,55.7957,8
0.0,5.84,58.3153,8
0.0,5.92,60.737,8
0.0,6.15,61.8111,8
0.0,6.17,62.1072,8
0.0,6.28,62.1537,8
-73.0,6.25,61.2922,8
-75.0,6.28,60.3445,8
-75.0,6.33,58.3835,8
-78.0,6.3,56.1519,8
-78.0,6.22,52.8558,8
-78.0,6.25,48.8616,8
-78.0,6.2,43.6513,8
-78.0,6.17,36.9564,8
-78.0,6.18,27.5175,8
-78.0,6.15,9.2296,8
-78.0,6.3,7.1918,8
-78.0,6.16,7.2448,8
-78.0,6.3,6.9919,8
-76.0,6.18,7.0272,8
-76.0,6.34,6.5808,8
-76.0,6.15,6.6657,8
-76.0,6.27,6.1933,8
-76.0,6.02,6.3214,8
-76.0,6.31,6.3214,8
-76.0,6.2,6.4913,8
-76.0,6.44,6.3374,8
-76.0,6.26,6.3374,8
-76.0,6.41,6.1715,8
-76.0,6.18,6.1188,8
-76.0,6.38,6.1188,8
-76.0,6.17,7.3423,8
-76.0,6.36,7.4136,8
-76.0,6.16,8.0816,8
-76.0,6.31,8.1526,8
-76.0,6.17,8.6507,8
-76.0,6.31,7.7838,8
-76.0,6.18,8.472,8
-76.0,6.34,8.3688,8
-78.0,6.22,8.7705,8
-78.0,6.34,8.5707,8
-78.0,6.24,8.9637,8
-78.0,6.36,8.8166,8
-78.0,6.23,9.1561,8
-78.0,6.29,8.9934,8
-78.0,6.29,9.1905,8
-78.0,6.34,9.1007,8
-78.0,6.22,9.4091,8
-78.0,6.32,9.3106,8
-78.0,6.16,9.7359,8
-78.0,6.3,9.3251,8
-78.0,6.14,9.1522,8
-79.0,6.25,8.6984,8
-79.0,6.14,8.6286,8
-79.0,6.32,8.1784,8
-78.0,6.22,8.4773,8
-78.0,6.24,8.1691,8
-78.0,6.22,8.1536,8
-78.0,6.28,8.0955,8
-78.0,6.24,8.0565,8
-78.0,6.16,8.5838,8
-78.0,6.19,8.3638,8
-79.0,6.01,8.4037,8
-78.0,6.17,8.4787,8
-79.0,6.21,8.5065,8
-79.0,6.27,8.5891,8
-79.0,6.16,8.6854,8
-78.0,6.31,8.4853,8
-78.0,6.2,8.5631,8
-78.0,6.37,7.9553,8
-76.0,6.15,8.0218,8
-76.0,6.39,7.4458,8
-76.0,6.25,8.0816,8
-76.0,6.39,7.6205,8
-76.0,6.17,7.7144,8
