RSSI,Energy,ActivityScore,Label
-60.0,6.37,1.0894,0
-60.0,6.56,1.0894,0
-60.0,6.48,1.2437,0
-60.0,6.34,1.3645,0
-60.0,6.5,1.3645,0
-60.0,6.41,1.3829,0
-60.0,6.51,1.4543,0
-60.0,6.51,1.4543,0
-60.0,6.26,1.35,0
-61.0,6.19,1.2186,0
-61.0,6.38,1.246,0
-61.0,6.39,1.246,0
-61.0,6.42,1.246,0
-61.0,6.63,1.2794,0
-60.0,6.39,1.3077,0
-60.0,6.59,1.3077,0
-60.0,6.56,1.4131,0
-60.0,6.56,1.5205,0
-60.0,6.64,1.5297,0
-60.0,6.51,1.462,0
-60.0,6.46,1.462,0
-60.0,6.48,1.462,0
-60.0,6.56,1.3748,0
-60.0,6.67,1.2639,0
-60.0,6.45,1.2639,0
-60.0,6.3,1.1225,0
-60.0,6.22,0.9367,0
-60.0,6.42,0.9367,0
-60.0,6.28,0.8842,0
-60.0,6.22,0.8216,0
-60.0,6.37,0.45,0
-60.0,6.39,0.45,0
-60.0,6.31,0.5761,0
-60.0,6.41,0.6708,0
-60.0,6.49,0.7462,0
-60.0,6.34,0.8078,0
-60.0,6.41,0.7649,0
-60.0,6.4,0.6495,0
-60.0,6.46,0.6495,0
-60.0,6.39,0.6495,0
-60.0,6.52,0.6495,0
-60.0,6.38,0.6495,0
-60.0,6.36,0.6495,0
-60.0,6.27,0.6874,0
-60.0,6.39,0.7155,0
-60.0,6.45,0.8842,0
-60.0,6.47,1.0034,0
-60.0,6.61,0.995,0
-61.0,6.76,1.0712,0
-61.0,6.62,1.1225,0
-61.0,6.43,1.2437,0
-61.0,6.37,1.2437,0
-61.0,6.57,1.2639,0
-60.0,6.43,1.2794,0
-60.0,6.31,1.2903,0
-60.0,6.36,1.2969,0
-60.0,6.46,1.299,0
-60.0,6.52,1.3748,0
-60.0,6.57,1.3748,0
-60.0,6.35,1.3748,0
-60.0,6.44,1.3748,0
-60.0,6.23,1.3748,0
-60.0,6.22,1.4309,0
-60.0,6.27,1.4446,0
-60.0,6.25,1.4543,0
-60.0,6.21,1.5928,0
-60.0,6.36,1.7168,0
-60.0,6.3,1.7168,0
-60.0,6.27,1.6703,0
-60.0,6.33,1.6086,0
-60.0,6.43,1.5352,0
-60.0,6.21,1.5352,0
-60.0,6.4,1.5352,0
-60.0,6.43,1.5297,0
-60.0,6.5,1.5205,0
-60.0,6.63,1.5205,0
-60.0,6.47,1.5205,0
-60.0,6.17,1.537,0
-60.0,6.31,1.537,0
-60.0,6.39,1.537,0
-60.0,6.53,1.537,0
-60.0,6.49,1.537,0
-60.0,6.51,1.5205,0
-60.0,6.52,1.5297,0
-60.0,6.56,1.5352,0
-60.0,6.42,1.2639,0
-60.0,6.31,0.8584,0
-60.0,6.18,0.8078,0
-60.0,6.15,0.8078,0
-60.0,6.27,0.8584,0
-60.0,6.32,0.9,0
-60.0,6.46,0.9337,0
-60.0,6.53,0.9337,0
-60.0,6.54,0.9,0
-60.0,6.56,0.8584,0
-60.0,6.6,1.0473,0
-60.0,6.61,1.1882,0
-60.0,6.6,1.1882,0
-60.0,6.41,1.2639,0
-60.0,6.48,1.2639,0
-60.0,6.53,1.3748,0
-60.0,6.37,1.462,0
-60.0,6.33,1.3809,0
-60.0,6.31,1.3829,0
-60.0,6.34,1.3809,0
-60.0,6.44,1.3809,0
-60.0,6.36,1.3809,0
-60.0,6.29,1.3809,0
-60.0,6.26,1.3809,0
-60.0,6.34,1.3748,0
-60.0,6.22,1.3645,0
-60.0,6.18,1.4131,0
-60.0,6.21,1.4131,0
-60.0,6.39,1.4131,0
-60.0,6.45,1.4131,0
-60.0,6.33,1.3332,0
-60.0,6.2,1.207,0
-60.0,6.29,1.207,0
-60.0,6.22,1.207,0
-60.0,6.38,1.3809,0
-60.0,6.45,1.207,0
-60.0,6.39,0.9808,0
-60.0,6.35,0.9808,0
-60.0,6.43,0.9808,0
-60.0,6.41,0.9808,0
-60.0,6.54,1.05,0
-60.0,6.59,1.05,0
-60.0,6.62,1.05,0
-60.0,6.45,1.255,0
-60.0,6.46,1.4151,0
-60.0,6.4,1.4151,0
-60.0,6.26,1.3645,0
-60.0,6.17,1.3645,0
-60.0,6.35,1.3645,0
-60.0,6.23,1.3645,0
-60.0,6.21,1.3077,0
-60.0,6.27,1.2437,0
-60.0,6.32,1.1715,0
-60.0,6.52,1.0894,0
-60.0,6.36,0.9337,0
-60.0,6.32,0.9605,0
-60.0,6.36,0.9605,0
-60.0,6.45,0.9605,0
-60.0,6.53,1.0473,0
-60.0,6.28,1.1225,0
-60.0,6.54,1.0894,0
-60.0,6.33,1.0894,0
-60.0,6.58,1.1225,0
-60.0,6.56,0.9367,0
-60.0,6.48,0.6708,0
-60.0,6.62,0.6708,0
-60.0,6.45,0.7462,0
-60.0,6.55,0.8078,0
-60.0,6.57,0.8078,0
-60.0,6.5,0.8078,0
-60.0,6.59,0.8078,0
-60.0,6.69,0.8842,0
-60.0,6.48,0.9487,0
-60.0,6.54,0.9487,0
-60.0,6.32,0.9487,0
-60.0,6.27,0.8842,0
-60.0,6.43,0.9367,0
-60.0,6.49,0.9367,0
-60.0,6.41,0.8842,0
-60.0,6.56,0.8842,0
-60.0,6.55,0.9367,0
-60.0,6.45,1.0034,0
-60.0,6.48,1.0034,0
-60.0,6.45,1.0034,0
-60.0,6.53,1.0034,0
-60.0,6.31,1.0034,0
-60.0,6.46,0.9367,0
-60.0,6.51,0.8584,0
-60.0,6.33,0.8584,0
-60.0,6.31,0.9,0
-60.0,6.41,0.9337,0
-60.0,6.44,0.9,0
-60.0,6.38,0.8584,0
-60.0,6.53,1.1099,0
-60.0,6.58,1.1099,0
-60.0,6.62,1.1099,0
-60.0,6.68,1.0607,0
-60.0,6.46,1.0607,0
-60.0,6.64,1.1099,0
-60.0,6.66,1.0894,0
-60.0,6.57,1.0473,0
-60.0,6.65,1.0173,0
-60.0,6.38,0.9808,0
-60.0,6.38,0.9808,0
-60.0,6.16,0.9808,0
-60.0,6.4,1.05,0
-60.0,6.27,1.05,0
-60.0,6.35,1.05,0
-60.0,6.54,1.05,0
-60.0,6.52,0.9808,0
-60.0,6.41,0.9337,0
-60.0,6.34,0.9605,0
-60.0,6.54,0.9808,0
-60.0,6.61,0.9808,0
-60.0,6.52,1.0712,0
-60.0,6.39,1.1497,0
-60.0,6.44,1.2186,0
-60.0,6.35,1.2794,0
-60.0,6.29,1.5642,0
-60.0,6.24,1.5443,0
-60.0,6.38,1.5205,0
-60.0,6.24,1.5443,0
-60.0,6.2,1.5642,0
-60.0,6.46,1.6619,0
-60.0,6.26,1.6619,0
-60.0,6.47,1.6016,0
-60.0,6.27,1.6771,0
-60.0,6.18,1.7364,0
-61.0,6.14,1.7283,0
-61.0,6.23,1.7168,0
-61.0,6.41,1.7168,0
-61.0,6.4,1.7168,0
-61.0,6.49,1.7168,0
-61.0,6.45,1.6619,0
-61.0,6.18,1.5803,0
-61.0,6.39,1.4906,0
-61.0,6.29,1.391,0
-61.0,6.17,1.2794,0
-61.0,6.37,1.0712,0
-61.0,6.22,1.0712,0
-61.0,6.25,1.0712,0
-61.0,6.32,1.3077,0
-61.0,6.31,1.3077,0
-61.0,6.47,1.2437,0
-61.0,6.42,1.2437,0
-61.0,6.47,1.2437,0
-60.0,6.58,1.1882,0
-60.0,6.44,1.1099,0
-60.0,6.66,1.1124,0
-60.0,6.57,1.1099,0
-60.0,6.63,1.1023,0
-60.0,6.52,1.0894,0
-60.0,6.65,1.2,0
-60.0,6.57,1.2969,0
-60.0,6.61,1.2969,0
-60.0,6.55,1.3748,0
-60.0,6.66,1.4446,0
-60.0,6.74,1.5352,0
-60.0,6.56,1.6068,0
-60.0,6.71,1.6771,0
-60.0,6.51,1.7412,0
-60.0,6.71,1.5075,0
-60.0,6.65,1.5075,0
-60.0,6.52,1.5075,0
-60.0,6.38,1.5075,0
-60.0,6.48,1.5075,0
-60.0,6.66,1.5075,0
-60.0,6.48,1.5075,0
-60.0,6.61,1.5075,0
-60.0,6.64,1.5205,0
-60.0,6.46,1.5297,0
