RSSI,Energy,ActivityScore,Label
0.0,0.0,32.6917,9
0.0,2.4,40.7768,9
0.0,3.88,45.6559,9
0.0,4.82,50.406,9
0.0,5.34,53.374,9
0.0,5.59,56.0524,9
0.0,5.97,57.3867,9
0.0,6.04,58.7841,9
0.0,6.21,59.1276,9
0.0,6.23,59.3867,9
-71.0,6.41,58.7008,9
-72.0,6.3,57.8967,9
-72.0,6.38,56.0709,9
-72.0,6.34,54.0081,9
-73.0,6.38,51.0154,9
-74.0,6.31,47.3142,9
-75.0,6.5,42.4457,9
-78.0,6.41,36.0027,9
-78.0,6.54,26.8391,9
-78.0,6.34,9.8818,9
-78.0,6.55,6.4739,9
-78.0,6.28,7.4015,9
-78.0,6.52,7.4015,9
-78.0,6.34,8.0415,9
-78.0,6.46,7.9571,9
-78.0,6.34,8.5312,9
-78.0,6.5,8.1802,9
-78.0,6.33,8.6465,9
-78.0,6.51,8.3284,9
-78.0,6.38,8.61,9
-78.0,6.53,8.2333,9
-78.0,6.4,8.6442,9
-78.0,6.47,8.0816,9
-78.0,6.32,8.3176,9
-78.0,6.49,8.1277,9
-78.0,6.31,8.303,9
-78.0,6.48,8.303,9
-78.0,6.31,8.3247,9
-78.0,6.44,8.3247,9
-78.0,6.33,8.2377,9
-78.0,6.49,7.8299,9
-78.0,6.31,7.6058,9
-78.0,6.36,7.3851,9
-78.0,6.28,7.4981,9
-78.0,6.42,7.6837,9
-78.0,6.33,7.6408,9
-78.0,6.42,7.7885,9
-78.0,6.3,7.5935,9
-78.0,6.36,7.5876,9
-78.0,6.26,7.476,9
-78.0,6.37,7.4865,9
-75.0,6.29,6.979,9
-75.0,6.33,7.2541,9
-75.0,6.34,8.2633,9
-75.0,6.29,8.2772,9
-75.0,6.36,8.0791,9
-75.0,6.32,8.0816,9
-75.0,6.39,7.8216,9
-75.0,6.34,7.7942,9
-75.0,6.38,7.7577,9
-75.0,6.24,7.7783,9
-75.0,6.32,7.3086,9
-75.0,6.26,7.327,9
-75.0,6.35,7.2912,9
-75.0,6.18,7.2715,9
-75.0,6.41,7.2715,9
-77.0,6.21,8.2172,9
-77.0,6.42,8.2172,9
-77.0,6.26,9.1315,9
-77.0,6.44,9.0731,9
-77.0,6.28,9.6079,9
-77.0,6.45,9.4306,9
-77.0,6.28,9.6631,9
-77.0,6.47,8.3769,9
-77.0,6.32,8.9448,9
-77.0,6.43,8.5365,9
-78.0,6.19,8.8598,9
-78.0,6.38,8.4454,9
