RSSI,Energy,ActivityScore,Label
0.0,1.71,18.6343,7
0.0,2.71,25.65,7
0.0,4.34,30.5296,7
0.0,5.22,37.6509,7
0.0,5.79,40.0724,7
0.0,6.11,41.922,7
0.0,6.41,43.273,7
0.0,6.68,44.1714,7
0.0,6.73,44.6443,7
0.0,6.8,44.7053,7
-57.0,6.83,44.3561,7
-57.0,6.97,43.5868,7
-57.0,6.93,42.3746,7
-57.0,7.0,40.6799,7
-57.0,6.66,38.4389,7
-57.0,6.93,35.5484,7
-57.0,6.77,31.8321,7
-57.0,6.81,26.9504,7
-57.0,6.86,20.0702,7
-57.0,6.76,6.5383,7
-57.0,6.85,6.5383,7
-57.0,6.89,6.5383,7
-57.0,6.98,9.2281,7
-57.0,6.89,6.8653,7
-57.0,7.04,6.8653,7
-57.0,6.85,6.8653,7
-57.0,6.89,6.8653,7
-57.0,6.72,6.8653,7
-57.0,6.91,6.8653,7
-57.0,6.81,6.8653,7
-57.0,6.82,6.8653,7
-57.0,6.88,6.8653,7
-57.0,6.82,6.8653,7
-57.0,6.98,6.8653,7
-57.0,6.79,6.8653,7
-57.0,6.96,10.8933,7
-57.0,6.77,10.8933,7
-57.0,6.86,10.8933,7
-57.0,6.83,10.8933,7
-57.0,7.05,10.8933,7
-57.0,6.93,10.8933,7
-57.0,6.96,10.8933,7
-57.0,6.96,8.8268,7
-57.0,6.82,8.8268,7
-57.0,6.95,8.8268,7
-57.0,6.89,8.8268,7
-57.0,6.93,12.3773,7
-57.0,6.94,13.9822,7
-57.0,6.98,15.0972,7
-57.0,6.93,15.0972,7
-57.0,6.95,15.0972,7
-57.0,6.96,15.0972,7
-57.0,7.05,15.0972,7
-57.0,6.96,15.0972,7
-57.0,7.08,15.0972,7
-57.0,6.85,13.2006,7
-57.0,6.74,14.1786,7
-57.0,6.89,14.2656,7
-57.0,6.74,14.3505,7
-57.0,6.85,14.4334,7
-57.0,6.74,14.5142,7
-57.0,6.83,15.4332,7
-57.0,6.78,15.5226,7
-57.0,7.01,15.6101,7
-57.0,6.86,15.6956,7
-57.0,6.94,15.7793,7
-55.0,6.97,13.7322,7
-55.0,7.14,12.0232,7
-55.0,7.0,9.919,7
-55.0,6.93,12.4642,7
-55.0,6.98,12.5183,7
-55.0,6.77,12.5703,7
-55.0,6.87,12.6203,7
-55.0,6.83,12.6683,7
-55.0,6.95,12.7144,7
-55.0,6.81,12.7144,7
-55.0,6.89,11.0479,7
-55.0,6.74,11.0479,7
-55.0,6.96,11.0479,7
-55.0,6.8,11.0479,7
-55.0,7.03,11.0479,7
-55.0,6.86,8.4999,7
-55.0,6.7,8.4999,7
-55.0,6.88,8.4999,7
-55.0,6.8,8.4999,7
-55.0,6.9,8.4999,7
-55.0,6.78,8.4999,7
-55.0,6.83,11.7,7
-55.0,6.73,13.9258,7
-55.0,6.83,13.5798,7
-55.0,6.79,13.5325,7
-55.0,6.98,13.4833,7
-55.0,6.82,13.4323,7
-55.0,7.07,13.4323,7
-55.0,6.9,13.4323,7
-55.0,6.88,15.4398,7
-55.0,6.92,16.2139,7
-55.0,6.79,16.2139,7
-55.0,6.89,16.2139,7
-55.0,6.81,16.2139,7
-55.0,6.87,16.2139,7
-55.0,6.72,16.2139,7
-55.0,6.8,16.2139,7
-55.0,6.75,16.2139,7
-55.0,6.7,16.2139,7
-55.0,6.67,16.2139,7
-55.0,6.6,16.2139,7
-55.0,6.49,14.8878,7
-55.0,6.69,13.1453,7
-55.0,6.57,11.241,7
-55.0,6.68,11.276,7
-55.0,6.55,11.3088,7
-55.0,6.5,11.3396,7
-55.0,6.72,11.3396,7
-55.0,6.55,11.3396,7
-55.0,6.68,7.1922,7
-55.0,6.53,0.0,7
-55.0,6.71,0.0,7
-55.0,6.71,0.0,7
-55.0,6.77,0.0,7
-55.0,6.82,0.0,7
-55.0,6.78,0.0,7
-55.0,6.8,0.0,7
-55.0,6.74,0.0,7
-55.0,6.57,0.0,7
-55.0,6.68,0.0,7
-55.0,6.5,0.0,7
-55.0,6.59,0.0,7
-55.0,6.6,7.1922,7
-55.0,6.65,7.1922,7
-55.0,6.78,7.1922,7
-55.0,6.65,7.1922,7
-55.0,6.78,7.1922,7
-55.0,6.59,7.1922,7
-55.0,6.73,7.1922,7
-55.0,6.7,7.1922,7
-55.0,6.7,7.1922,7
-55.0,6.66,7.1922,7
-55.0,6.73,7.1922,7
-55.0,6.62,7.1922,7
-55.0,6.68,7.1922,7
-55.0,6.57,7.1922,7
-55.0,6.66,7.1922,7
-55.0,6.62,7.1875,7
-55.0,6.62,7.1797,7
-55.0,6.68,7.1687,7
-55.0,6.63,7.1687,7
-55.0,6.77,7.1687,7
-55.0,6.61,1.0712,7
-55.0,6.64,8.464,7
-55.0,6.6,8.464,7
-55.0,6.61,8.464,7
-55.0,6.62,8.464,7
-55.0,6.72,8.464,7
-55.0,6.67,8.464,7
-55.0,6.76,8.464,7
-55.0,6.73,8.464,7
-55.0,6.79,8.464,7
-55.0,6.75,8.464,7
-55.0,6.75,8.464,7
-55.0,6.8,8.464,7
-55.0,6.61,8.464,7
-55.0,6.76,8.464,7
-55.0,6.69,8.4787,7
-55.0,6.65,8.4906,7
-55.0,6.81,8.4999,7
-55.0,6.56,8.4999,7
-55.0,6.73,8.4999,7
-55.0,6.63,8.4999,7
-55.0,6.82,0.0,7
-55.0,6.67,0.0,7
-55.0,6.82,0.0,7
-55.0,6.79,0.0,7
-55.0,6.79,0.0,7
-55.0,6.77,0.0,7
-55.0,6.91,0.0,7
-55.0,6.77,0.0,7
-55.0,6.69,0.0,7
-55.0,6.81,0.6538,7
-55.0,6.6,0.9,7
-55.0,6.78,0.9,7
-55.0,6.69,0.9,7
-55.0,6.71,10.1055,7
-55.0,6.71,12.6125,7
-55.0,6.75,12.59,7
-55.0,6.85,12.59,7
-55.0,6.77,12.59,7
-55.0,6.69,12.59,7
-55.0,6.81,12.59,7
-55.0,6.74,12.59,7
-55.0,6.78,12.59,7
-55.0,6.95,12.59,7
-55.0,6.88,12.59,7
-55.0,6.92,14.2687,7
-55.0,6.71,14.2687,7
-55.0,6.71,14.2687,7
-55.0,6.73,14.2687,7
-55.0,6.72,14.2687,7
-55.0,6.82,14.3191,7
-55.0,6.82,14.3677,7
-55.0,6.74,14.3191,7
-55.0,6.81,14.3191,7
-55.0,6.71,10.9757,7
-55.0,6.75,10.5268,7
-55.0,6.73,10.5478,7
-55.0,6.68,10.5478,7
-55.0,6.83,10.5478,7
-55.0,6.74,10.5478,7
-55.0,6.82,10.5478,7
-55.0,6.78,10.5478,7
-55.0,6.76,12.6328,7
-55.0,6.73,12.6328,7
-55.0,6.74,12.6328,7
-55.0,6.63,10.5478,7
-55.0,6.85,10.5478,7
-55.0,6.71,11.9575,7
-55.0,6.64,11.9575,7
-55.0,6.65,11.9104,7
-55.0,6.59,11.9104,7
-55.0,6.8,11.9104,7
-55.0,6.67,11.9575,7
-55.0,6.78,13.4783,7
-55.0,6.71,13.4783,7
-55.0,6.76,11.9575,7
-55.0,6.75,11.9575,7
-55.0,6.68,11.9575,7
-55.0,6.66,11.9575,7
-55.0,6.84,11.9575,7
-55.0,6.79,11.9575,7
-55.0,6.71,11.9575,7
-55.0,6.88,9.6733,7
-55.0,6.73,9.6733,7
-55.0,6.9,11.7671,7
-55.0,6.82,11.7671,7
-55.0,6.81,14.55,7
-55.0,6.8,13.6566,7
-55.0,6.85,13.6566,7
-55.0,6.9,13.7035,7
-55.0,6.93,13.7035,7
-55.0,7.03,13.7035,7
-55.0,7.08,13.7035,7
-55.0,6.9,13.4005,7
-55.0,6.92,13.4005,7
-55.0,6.93,13.4005,7
-55.0,6.69,13.4005,7
-55.0,6.82,13.4005,7
-55.0,6.66,13.4005,7
-55.0,6.76,14.8712,7
-55.0,6.76,14.8712,7
-55.0,6.8,14.8712,7
-55.0,6.7,17.7056,7
-55.0,6.78,17.7056,7
-55.0,6.62,16.8942,7
-55.0,6.81,16.8942,7
-55.0,6.75,14.7046,7
-55.0,6.74,14.7046,7
-55.0,6.84,14.7046,7
-55.0,6.71,14.7046,7
-55.0,6.79,14.7046,7
-55.0,6.67,16.4267,7
-55.0,6.83,16.4267,7
-55.0,6.73,15.5892,7
-55.0,6.83,15.5892,7
-55.0,6.73,15.5892,7
-55.0,6.87,15.5892,7
-55.0,6.77,16.4267,7
-55.0,6.61,17.7552,7
-55.0,6.77,16.8341,7
-55.0,6.61,16.8341,7
-55.0,6.74,16.8341,7
-55.0,6.51,13.4906,7
-55.0,6.69,13.4906,7
-55.0,6.64,15.2416,7
-55.0,6.68,15.181,7
-55.0,6.63,15.1186,7
-55.0,6.74,15.0545,7
-55.0,6.73,15.0545,7
-55.0,6.89,15.0545,7
-55.0,6.82,15.0545,7
-55.0,6.77,13.1539,7
-55.0,6.77,13.1539,7
-55.0,6.75,13.1539,7
-55.0,6.79,13.1539,7
-55.0,6.71,13.1539,7
-55.0,6.83,13.1539,7
-55.0,6.85,11.8251,7
-55.0,6.82,8.464,7
-55.0,6.92,8.464,7
-55.0,6.67,8.464,7
-55.0,6.87,8.464,7
-55.0,6.67,8.464,7
-55.0,6.79,12.2915,7
-55.0,6.74,9.4378,7
-55.0,6.81,9.4545,7
-55.0,6.66,9.4687,7
-55.0,6.82,9.4806,7
-55.0,6.72,9.4806,7
-55.0,6.65,12.8272,7
-55.0,6.71,12.7938,7
-55.0,6.74,12.7938,7
-55.0,6.9,12.7938,7
-55.0,6.79,12.7938,7
-55.0,6.89,12.7938,7
-55.0,6.69,12.7938,7
-55.0,6.83,14.4676,7
-55.0,6.82,14.4676,7
-55.0,6.89,14.4676,7
-55.0,6.68,17.5372,7
-55.0,6.76,17.5372,7
-55.0,6.7,17.5372,7
-55.0,6.88,18.2635,7
-55.0,6.82,16.7396,7
-55.0,6.7,16.7396,7
-55.0,6.86,16.7396,7
-55.0,6.75,16.7396,7
-55.0,6.96,16.7396,7
-55.0,6.85,16.7396,7
-55.0,6.9,16.0526,7
-55.0,6.79,16.1128,7
-55.0,6.74,16.1128,7
-55.0,6.78,16.1128,7
-55.0,6.91,16.1128,7
-55.0,6.88,16.1128,7
-55.0,6.89,17.1123,7
-55.0,6.85,16.1128,7
-55.0,6.79,16.1128,7
-55.0,6.85,16.1128,7
-55.0,6.73,12.5005,7
-55.0,6.94,12.5005,7
-55.0,6.73,12.5005,7
-55.0,6.83,10.5777,7
-55.0,6.77,10.5777,7
-55.0,6.86,10.5777,7
-55.0,6.8,10.5777,7
-55.0,6.97,10.5777,7
-55.0,6.94,10.5777,7
-55.0,6.79,10.5777,7
-55.0,6.89,7.846,7
-55.0,6.66,7.846,7
-55.0,6.81,7.846,7
-55.0,6.68,7.846,7
-55.0,6.8,12.2331,7
-55.0,6.77,14.1865,7
-55.0,6.81,13.8803,7
-55.0,6.8,13.8803,7
-55.0,6.79,13.8803,7
-55.0,6.85,13.8803,7
-55.0,6.93,13.8803,7
-55.0,6.76,13.8803,7
-55.0,6.9,13.8803,7
-55.0,6.84,13.8803,7
-55.0,6.84,13.8803,7
-55.0,6.85,13.8803,7
-55.0,6.77,13.8803,7
-55.0,6.84,13.8803,7
-55.0,6.65,13.8803,7
-55.0,6.76,13.8803,7
-55.0,6.73,13.8803,7
-55.0,6.8,13.8803,7
-55.0,6.69,13.8803,7
-55.0,6.82,13.8803,7
-55.0,6.99,10.5989,7
-55.0,6.95,7.1922,7
-55.0,6.84,0.0,7
-55.0,6.79,0.0,7
-55.0,6.84,0.0,7
-55.0,6.65,0.0,7
-55.0,6.77,7.5191,7
-55.0,6.76,7.5191,7
-55.0,6.73,7.5191,7
-55.0,6.83,7.5191,7
-55.0,6.95,7.5191,7
-55.0,6.86,7.5191,7
-55.0,6.95,7.5191,7
-55.0,6.73,7.5191,7
-55.0,6.82,7.5191,7
-55.0,6.9,7.5191,7
-55.0,6.74,7.5191,7
-55.0,6.8,10.35,7
-55.0,6.63,10.3206,7
-55.0,6.73,10.3206,7
-55.0,6.75,10.3206,7
-55.0,6.87,10.3206,7
-55.0,6.79,10.3206,7
-55.0,6.87,10.3206,7
-55.0,6.82,10.3206,7
-55.0,6.96,10.3206,7
-55.0,6.86,7.5131,7
-55.0,6.83,7.5131,7
-55.0,6.94,7.5131,7
-55.0,6.73,7.5131,7
-55.0,6.89,7.5131,7
-55.0,6.79,7.5131,7
-55.0,6.88,7.5131,7
-55.0,6.83,11.0173,7
-55.0,6.9,13.0066,7
-55.0,6.84,13.0066,7
-55.0,6.82,13.0066,7
-55.0,6.76,11.229,7
-55.0,6.84,11.26,7
-55.0,6.83,11.26,7
-55.0,6.91,11.26,7
-55.0,6.82,11.26,7
-55.0,6.78,11.26,7
-55.0,6.88,11.26,7
-55.0,6.75,11.26,7
-55.0,6.9,14.1547,7
-55.0,6.87,15.6504,7
-55.0,6.91,16.8072,7
-55.0,6.9,16.8072,7
-55.0,6.88,16.8072,7
-55.0,6.8,16.8072,7
-55.0,6.97,16.8072,7
-55.0,6.78,16.8072,7
-55.0,6.94,15.5036,7
-55.0,6.81,14.1468,7
-55.0,6.79,14.1468,7
-55.0,6.93,14.1468,7
-55.0,6.82,14.1468,7
-55.0,6.88,14.1468,7
-55.0,6.84,14.1468,7
-55.0,6.94,16.4212,7
-55.0,6.84,16.4212,7
-55.0,6.94,16.4212,7
-55.0,6.89,16.4212,7
-55.0,6.9,16.4212,7
-55.0,6.93,14.3483,7
-55.0,7.07,12.4317,7
-55.0,6.85,9.8075,7
-55.0,6.88,12.2331,7
-55.0,6.84,12.2331,7
-55.0,6.72,12.2331,7
-55.0,6.83,12.2331,7
-55.0,6.68,12.2331,7
-55.0,6.96,12.2331,7
-55.0,6.84,12.2331,7
-55.0,6.96,12.2331,7
-55.0,6.86,12.2331,7
-55.0,6.97,12.2331,7
-55.0,6.84,12.2331,7
-55.0,7.01,12.2331,7
-55.0,6.87,7.846,7
-55.0,6.98,7.846,7
-55.0,7.04,7.846,7
-55.0,6.88,7.8388,7
-55.0,6.97,7.8288,7
