RSSI,Energy,ActivityScore,Label
0.0,0.85,18.6343,2
0.0,3.24,25.65,2
0.0,4.45,30.5296,2
0.0,5.31,34.2,2
0.0,6.02,36.7677,2
0.0,6.17,38.7305,2
0.0,6.44,40.1772,2
0.0,6.49,41.1624,2
0.0,6.69,41.7185,2
0.0,6.7,41.8629,2
-55.0,6.6,41.5997,2
-55.0,6.81,40.9211,2
-55.0,6.63,39.8059,2
-55.0,6.81,38.2159,2
-55.0,6.74,36.0882,2
-55.0,6.92,33.3203,2
-55.0,6.62,29.7336,2
-55.0,6.74,24.978,2
-55.0,6.7,18.1573,2
-55.0,6.78,1.2,2
-55.0,6.69,6.5228,2
-55.0,6.6,10.6434,2
-55.0,6.65,10.6751,2
-55.0,6.52,10.7045,2
-55.0,6.73,10.7045,2
-55.0,6.54,10.7342,2
-55.0,6.86,10.7632,2
-55.0,6.63,10.7632,2
-55.0,6.67,15.1344,2
-55.0,6.74,15.1344,2
-55.0,6.79,15.1344,2
-55.0,6.77,15.1344,2
-55.0,6.7,15.1344,2
-55.0,6.61,15.1344,2
-55.0,6.8,16.2753,2
-55.0,6.8,16.2172,2
-55.0,6.58,16.2172,2
-55.0,6.71,16.9923,2
-55.0,6.61,16.9923,2
-55.0,6.79,16.9923,2
-55.0,6.73,16.4336,2
-55.0,6.8,14.7122,2
-55.0,6.71,14.7122,2
-55.0,6.56,14.7122,2
-55.0,6.72,14.7122,2
-55.0,6.67,14.6776,2
-55.0,6.88,14.6425,2
-55.0,6.7,14.6425,2
-55.0,6.85,12.6683,2
-55.0,6.65,12.6683,2
-55.0,6.78,16.2069,2
-55.0,6.73,16.2069,2
-55.0,6.81,16.2069,2
-55.0,6.67,16.2069,2
-55.0,6.78,15.1037,2
-55.0,6.74,15.926,2
-55.0,6.76,15.926,2
-55.0,6.75,14.8982,2
-55.0,6.59,14.8982,2
-55.0,6.77,14.8982,2
-55.0,6.67,14.8982,2
-55.0,6.79,14.8982,2
-55.0,6.67,14.8982,2
-55.0,6.8,14.8982,2
-55.0,6.69,14.8982,2
-55.0,6.73,14.8982,2
-55.0,6.68,14.8982,2
-55.0,6.72,14.8982,2
-55.0,6.89,12.8762,2
-55.0,6.74,12.8762,2
-55.0,6.87,6.5383,2
-55.0,6.66,6.5383,2
-55.0,6.77,6.5383,2
-55.0,6.7,6.5383,2
-55.0,6.87,6.5383,2
-55.0,6.73,0.0,2
-55.0,6.8,0.0,2
-55.0,6.83,0.0,2
-55.0,6.61,0.0,2
-55.0,6.78,0.0,2
-55.0,6.6,0.0,2
-55.0,6.79,9.4806,2
-55.0,6.63,9.4806,2
-55.0,6.73,9.4806,2
-55.0,6.68,9.4806,2
-55.0,6.75,9.4806,2
-55.0,6.7,9.4806,2
-55.0,6.58,9.4806,2
-55.0,6.6,9.4806,2
-55.0,6.5,9.4806,2
-55.0,6.62,9.4806,2
-55.0,6.48,9.4806,2
-55.0,6.69,9.4806,2
-55.0,6.56,12.8272,2
-55.0,6.68,12.7938,2
-55.0,6.63,16.8948,2
-55.0,6.76,16.866,2
-55.0,6.75,16.8368,2
-55.0,6.57,16.8072,2
-55.0,6.64,16.8072,2
-55.0,6.5,16.8072,2
-55.0,6.73,14.6778,2
-55.0,6.47,14.6778,2
-55.0,6.68,14.6778,2
-55.0,6.64,14.6778,2
-55.0,6.68,14.6778,2
-55.0,6.56,14.6778,2
-55.0,6.54,14.6778,2
-55.0,6.57,14.6778,2
-55.0,6.73,14.6778,2
-55.0,6.7,14.6778,2
-55.0,6.69,14.6778,2
-55.0,6.74,14.6778,2
-55.0,6.51,12.0365,2
-55.0,6.74,12.0561,2
-55.0,6.56,0.5356,2
-55.0,6.76,0.45,2
-55.0,6.7,0.0,2
-55.0,6.78,0.0,2
-55.0,6.75,0.0,2
-55.0,6.76,0.6538,2
-55.0,6.63,0.9,2
-55.0,6.69,7.1797,2
-55.0,6.79,7.1797,2
-55.0,6.65,7.1667,2
-55.0,6.88,7.153,2
-55.0,6.61,7.153,2
-55.0,6.66,7.153,2
-55.0,6.51,10.7342,2
-55.0,6.64,10.7342,2
-55.0,6.67,10.7342,2
-55.0,6.71,10.7342,2
-55.0,6.71,10.7342,2
-55.0,6.77,10.7342,2
-55.0,6.82,10.7342,2
-55.0,6.55,10.7342,2
-55.0,6.76,10.7342,2
-55.0,6.61,10.6974,2
-55.0,6.66,15.1745,2
-55.0,6.7,15.1745,2
-55.0,6.7,15.1973,2
-55.0,6.73,15.2196,2
-55.0,6.77,14.0029,2
-55.0,6.72,13.979,2
-55.0,6.86,14.0029,2
-55.0,6.81,14.0264,2
-55.0,6.61,14.0264,2
-55.0,6.63,14.0264,2
-55.0,6.69,11.6952,2
-55.0,6.55,11.6952,2
-55.0,6.6,14.3992,2
-55.0,6.46,14.3992,2
-55.0,6.58,14.3992,2
-55.0,6.6,14.3992,2
-55.0,6.6,14.3992,2
-55.0,6.66,14.3992,2
-55.0,6.65,14.3992,2
-55.0,6.52,14.4375,2
-55.0,6.45,12.0738,2
-55.0,6.61,12.0738,2
-55.0,6.51,12.0959,2
-55.0,6.72,12.1175,2
-55.0,6.56,12.1387,2
-55.0,6.64,12.1268,2
-55.0,6.67,12.1268,2
-55.0,6.61,12.1268,2
-55.0,6.62,12.1052,2
-55.0,6.65,12.1052,2
-55.0,6.66,12.1052,2
-55.0,6.63,12.0831,2
-55.0,6.56,8.4654,2
-55.0,6.4,8.4654,2
-55.0,6.57,8.4654,2
-55.0,6.44,8.4654,2
-55.0,6.56,8.4507,2
-55.0,6.44,8.4507,2
-55.0,6.48,8.4507,2
-55.0,6.5,8.4334,2
-55.0,6.47,1.2093,2
-55.0,6.45,11.3334,2
-55.0,6.41,11.3076,2
-55.0,6.44,11.3076,2
-55.0,6.36,11.3076,2
-55.0,6.43,11.3334,2
-55.0,6.37,11.3334,2
-55.0,6.46,11.3334,2
-55.0,6.35,11.3506,2
-55.0,6.49,11.3506,2
-55.0,6.37,11.3506,2
-55.0,6.52,11.3671,2
-55.0,6.51,11.3671,2
-55.0,6.42,11.3671,2
-55.0,6.43,11.3671,2
-55.0,6.53,11.3671,2
-55.0,6.52,11.3889,2
-55.0,6.56,13.4237,2
-55.0,6.57,13.4237,2
-55.0,6.45,13.4606,2
-55.0,6.55,13.4956,2
-55.0,6.48,7.8388,2
-55.0,6.67,10.5777,2
-55.0,6.46,10.5777,2
-55.0,6.52,13.2485,2
-55.0,6.44,13.2485,2
-55.0,6.5,13.2485,2
-55.0,6.49,13.2485,2
-55.0,6.55,13.2485,2
-55.0,6.54,13.2485,2
-55.0,6.61,13.2485,2
-55.0,6.69,13.2485,2
-55.0,6.43,13.2485,2
-55.0,6.69,13.2485,2
-55.0,6.61,13.2485,2
-55.0,6.68,13.2485,2
-55.0,6.62,15.0375,2
-55.0,6.65,13.6046,2
-55.0,6.66,13.6046,2
-55.0,6.73,13.6046,2
-55.0,6.67,13.6046,2
-55.0,6.56,13.6046,2
-55.0,6.6,11.9274,2
-55.0,6.55,11.9274,2
-55.0,6.74,8.4999,2
-55.0,6.55,8.4999,2
-55.0,6.69,11.0479,2
-55.0,6.71,11.0479,2
-55.0,6.79,11.0479,2
-55.0,6.6,11.0479,2
-55.0,6.54,11.0479,2
-55.0,6.72,11.0479,2
-55.0,6.53,11.0479,2
-55.0,6.76,11.0479,2
-55.0,6.65,11.0479,2
-55.0,6.77,12.5544,2
-55.0,6.77,9.9114,2
-55.0,6.86,9.9114,2
-55.0,6.77,9.9114,2
-55.0,6.8,9.9114,2
-55.0,6.73,9.9114,2
-55.0,6.73,11.7929,2
-55.0,6.66,11.7929,2
-55.0,6.55,11.7929,2
-55.0,6.76,11.7929,2
-55.0,6.74,11.7929,2
-55.0,6.87,9.6779,2
-55.0,6.67,9.6779,2
-55.0,6.65,14.4102,2
-55.0,6.66,14.4102,2
-55.0,6.7,14.4102,2
-55.0,6.65,14.4102,2
-55.0,6.72,14.4102,2
-55.0,6.64,14.4102,2
-55.0,6.69,14.4102,2
-55.0,6.79,13.1904,2
-55.0,6.67,13.1904,2
-55.0,6.82,13.1904,2
-55.0,6.64,13.1904,2
-55.0,6.68,16.8067,2
-55.0,6.7,16.8067,2
-55.0,6.81,15.75,2
-55.0,6.6,19.1112,2
-55.0,6.63,19.1112,2
-55.0,6.64,19.1112,2
-55.0,6.71,19.1112,2
-55.0,6.74,19.1112,2
-55.0,6.65,19.1112,2
-55.0,6.84,16.2069,2
-55.0,6.64,16.2069,2
-55.0,6.79,16.2069,2
-55.0,6.6,16.2069,2
-55.0,6.82,16.2069,2
-55.0,6.76,19.1112,2
-55.0,6.89,19.1112,2
-55.0,6.86,19.7606,2
-55.0,6.74,19.7266,2
-55.0,6.83,19.7266,2
-55.0,6.69,19.6922,2
-55.0,6.72,17.1373,2
-55.0,6.61,17.1373,2
-55.0,6.67,17.1373,2
-55.0,6.65,13.1282,2
-55.0,6.74,14.6069,2
-55.0,6.82,14.6069,2
-55.0,6.87,14.6069,2
