RSSI,Energy,ActivityScore,Label
0.0,0.34,29.0957,5
0.0,2.46,38.0849,5
0.0,2.65,46.1281,5
0.0,4.01,50.7898,5
0.0,4.57,54.6482,5
0.0,5.21,57.3797,5
0.0,5.32,59.4811,5
0.0,5.62,60.8203,5
0.0,5.72,61.6277,5
0.0,5.76,61.759,5
-80.0,5.76,61.3056,5
-80.0,5.92,60.4987,5
-80.0,6.02,58.8457,5
-80.0,5.9,56.9927,5
-80.0,5.94,53.8057,5
-80.0,5.95,49.5002,5
-80.0,5.95,44.3871,5
-80.0,5.95,38.1428,5
-80.0,5.95,30.0708,5
-80.0,5.95,17.8424,5
-80.0,5.95,18.3704,5
-80.0,5.95,19.1829,5
-80.0,5.95,19.1296,5
-80.0,5.95,19.5208,5
-56.0,5.95,19.603,5
-56.0,5.91,20.3817,5
-56.0,5.88,21.158,5
-56.0,5.88,21.9385,5
-56.0,5.88,22.6191,5
-56.0,5.88,23.305,5
-56.0,5.88,23.9478,5
-56.0,5.88,24.3697,5
-56.0,5.88,24.9131,5
-56.0,5.88,24.9131,5
-56.0,5.88,25.427,5
-89.0,5.88,25.3064,5
-90.0,5.88,24.9256,5
-90.0,5.88,24.2726,5
-90.0,5.88,23.3243,5
-90.0,5.88,22.0427,5
-90.0,5.88,20.3651,5
-90.0,5.88,18.182,5
-90.0,5.88,15.2785,5
-90.0,5.88,11.1028,5
-90.0,5.88,0.0,5
-90.0,5.88,0.0,5
-90.0,5.88,0.0,5
-90.0,5.88,0.0,5
-90.0,5.88,0.0,5
-90.0,5.88,0.0,5
-90.0,5.88,0.0,5
-90.0,5.88,0.0,5
-90.0,5.88,0.0,5
-90.0,5.88,0.0,5
-90.0,5.88,0.0,5
-90.0,5.88,0.0,5
-90.0,5.88,0.0,5
-90.0,5.88,0.0,5
-90.0,5.87,0.0,5
-90.0,5.93,2.9432,5
-90.0,6.0,5.2948,5
-90.0,5.96,5.602,5
-90.0,6.05,5.7565,5
-90.0,5.88,6.0537,5
-90.0,5.98,6.1919,5
-90.0,6.03,6.46,5
-90.0,6.12,6.4935,5
-89.0,5.94,6.5487,5
-85.0,5.97,6.4251,5
-84.0,5.92,6.39,5
-83.0,6.06,6.911,5
-83.0,6.0,6.7329,5
